ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
1.098111306367969497e+01,7.300100000000000477e+01,8.724805097546234123e+00
1.098111682591473048e+01,7.300100000000000477e+01,9.099521007774200143e+00
1.098112064629331996e+01,7.300100000000000477e+01,9.482035780596140384e+00
1.098112452493350233e+01,7.300100000000000477e+01,9.872329458841004879e+00
1.098112846195618175e+01,7.300100000000000477e+01,1.027038227340262644e+01
1.098113245748455746e+01,7.300100000000000477e+01,1.067617467523196595e+01
1.098113651164356774e+01,7.300100000000000477e+01,1.108968736337244110e+01
1.098114062455941387e+01,7.300100000000000477e+01,1.151090130940091960e+01
1.098114479635910712e+01,7.300100000000000477e+01,1.193979777860431923e+01
1.098114902717006736e+01,7.300100000000000477e+01,1.237635834819223035e+01
1.098115331711975173e+01,7.300100000000000477e+01,1.282056492281924065e+01
1.098115766633532431e+01,7.300100000000000477e+01,1.327239974766644970e+01
1.098116207494336294e+01,7.300100000000000477e+01,1.373184541930966596e+01
1.098116654306958928e+01,7.300100000000000477e+01,1.419888489458192105e+01
1.098117107083862187e+01,7.300100000000000477e+01,1.467350149761981726e+01
1.098117565837377185e+01,7.300100000000000477e+01,1.515567892526683380e+01
1.098118030579685644e+01,7.300100000000000477e+01,1.564540125099178169e+01
1.098118501322802132e+01,7.300100000000000477e+01,1.614265292746701519e+01
1.098118978078560737e+01,7.300100000000000477e+01,1.664741878793863705e+01
1.098119460858601215e+01,7.300100000000000477e+01,1.715968404650968182e+01
1.098119949674359219e+01,7.300100000000000477e+01,1.767943429744696004e+01
1.098120444537056173e+01,7.300100000000000477e+01,1.820665551361285495e+01
1.098120945457691988e+01,7.300100000000000477e+01,1.874133404411483639e+01
1.098121452447037960e+01,7.300100000000000477e+01,1.928345661125754873e+01
1.098121965515632681e+01,7.300100000000000477e+01,1.983301030687520949e+01
1.098122484673776356e+01,7.300100000000000477e+01,2.038998258811545128e+01
1.098123009931528848e+01,7.300100000000000477e+01,2.095436127273974591e+01
1.098123541298707195e+01,7.300100000000000477e+01,2.152613453399997212e+01
1.098124078784884716e+01,7.300100000000000477e+01,2.210529089514570700e+01
1.098124622399388883e+01,7.300100000000000477e+01,2.269181922361205395e+01
1.098125172151304163e+01,7.300100000000000477e+01,2.328570872493364163e+01
1.098125728049470062e+01,7.300100000000000477e+01,2.388694893642641759e+01
1.098126290102484326e+01,7.300100000000000477e+01,2.449552972067529311e+01
1.098126858318703647e+01,7.300100000000000477e+01,2.511144125886232459e+01
1.098127432706246864e+01,7.300100000000000477e+01,2.573467404396706115e+01
1.098128013272996739e+01,7.300100000000000477e+01,2.636521887386786744e+01
1.098128600026603330e+01,7.300100000000000477e+01,2.700306684437042648e+01
1.098129192974487722e+01,7.300100000000000477e+01,2.764820934218718662e+01
1.098129792123845228e+01,7.300100000000000477e+01,2.830063803788937093e+01
1.098130397481648757e+01,7.300100000000000477e+01,2.896034487885104980e+01
1.098131009054653440e+01,7.300100000000000477e+01,2.962732208220296926e+01
1.098131626849401421e+01,7.300100000000000477e+01,3.030156212781201219e+01
1.098132250872224347e+01,7.300100000000000477e+01,3.098305775130063466e+01
1.098132881129249228e+01,7.300100000000000477e+01,3.167180193711911329e+01
1.098133517626402877e+01,7.300100000000000477e+01,3.236778791168205771e+01
1.098134160352344146e+01,7.300100000000000477e+01,3.307099045803997939e+01
1.098134802905708440e+01,7.300100000000000477e+01,3.377438964793754650e+01
1.098135445294990475e+01,7.300100000000000477e+01,3.447797550779905151e+01
1.098136087528272853e+01,7.300100000000000477e+01,3.518173857666909754e+01
1.098136729613245777e+01,7.300100000000000477e+01,3.588566987921036144e+01
1.098137371557225883e+01,7.300100000000000477e+01,3.658976090018582283e+01
1.098138013367173116e+01,7.300100000000000477e+01,3.729400356033815456e+01
1.098138655049708312e+01,7.300100000000000477e+01,3.799839019358461201e+01
1.098139296611128479e+01,7.300100000000000477e+01,3.870291352545091002e+01
1.098139938057423315e+01,7.300100000000000477e+01,3.940756665267255698e+01
1.098140579394288885e+01,7.300100000000000477e+01,4.011234302389648576e+01
1.098141220627142012e+01,7.300100000000000477e+01,4.081723642142017638e+01
1.098141861761134130e+01,7.300100000000000477e+01,4.152224094390921749e+01
1.098142502801163189e+01,7.300100000000000477e+01,4.222735099003804748e+01
1.098143143751886441e+01,7.300100000000000477e+01,4.293256124300187082e+01
1.098143784617732699e+01,7.300100000000000477e+01,4.363786665585099911e+01
1.098144425402911573e+01,7.300100000000000477e+01,4.434326243760177277e+01
1.098145066111425905e+01,7.300100000000000477e+01,4.504874404008101152e+01
1.098145706747081007e+01,7.300100000000000477e+01,4.575430714546340027e+01
1.098146347313493898e+01,7.300100000000000477e+01,4.645994765446381081e+01
1.098146987814103426e+01,7.300100000000000477e+01,4.716566167514861974e+01
1.098147628252178443e+01,7.300100000000000477e+01,4.787144551233224377e+01
1.098148268630825797e+01,7.300100000000000477e+01,4.857729565752715928e+01
1.098148908952998859e+01,7.300100000000000477e+01,4.928320877941739298e+01
1.098149549221504806e+01,7.300100000000000477e+01,4.998918171482722528e+01
1.098150189439011370e+01,7.300100000000000477e+01,5.069521146015855351e+01
1.098150829608054835e+01,7.300100000000000477e+01,5.140129516327170478e+01
1.098151469731044827e+01,7.300100000000000477e+01,5.210743011578611572e+01
1.098152109810272137e+01,7.300100000000000477e+01,5.281361374577842582e+01
1.098152749847913334e+01,7.300100000000000477e+01,5.351984361085695241e+01
1.098153389846037165e+01,7.300100000000000477e+01,5.422611739159256672e+01
1.098154029806609699e+01,7.300100000000000477e+01,5.493243288528717727e+01
1.098154669731499489e+01,7.300100000000000477e+01,5.563878800006204273e+01
1.098155309622481823e+01,7.300100000000000477e+01,5.634518074924908859e+01
1.098155949481243532e+01,7.300100000000000477e+01,5.705160924606934003e+01
1.098156589309388664e+01,7.300100000000000477e+01,5.775807169858349965e+01
1.098157229108440269e+01,7.300100000000000477e+01,5.846456640490040257e+01
1.098157868879846077e+01,7.300100000000000477e+01,5.917109174862995502e+01
