x,y,z
1830777.9964787862,5988578.827632828,1207034.549368006
1830778.1599745583,5988579.362436785,1207035.3783757328
1830778.3234735236,5988579.89725119,1207036.207376095
1830778.4869755225,5988580.432075515,1207037.0363694648
1830778.6504804015,5988580.966909263,1207037.8653561934
1830778.8139880146,5988581.501751955,1207038.694336616
1830778.977498225,5988582.036603141,1207039.5233110513
1830779.1410109,5988582.571462389,1207040.3522798012
1830779.3045259155,5988583.106329294,1207041.1812431521
1830779.468043154,5988583.6412034705,1207042.010201379
1830779.6315625017,5988584.176084545,1207042.8391547387
1830779.7950838523,5988584.710972172,1207043.6681034788
1830779.9586071037,5988585.245866017,1207044.497047833
1830780.1221321612,5988585.780765769,1207045.3259880235
1830780.285658931,5988586.315671123,1207046.1549242618
1830780.449187327,5988586.850581796,1207046.9838567479
1830780.6127172664,5988587.385497517,1207047.8127856725
1830780.7762486713,5988587.920418033,1207048.6417112178
1830780.9397814658,5988588.455343094,1207049.4706335545
1830781.1033155809,5988588.990272474,1207050.299552847
1830781.2668509479,5988589.525205948,1207051.1284692502
